date,PriceArea,electricity_price
2023-12-31T22:00:00,DK1,26.870001
2023-12-31T22:00:00,DK2,26.870001
2023-12-31T21:00:00,DK1,28.67
2023-12-31T21:00:00,DK2,28.67
2023-12-31T20:00:00,DK1,29.6
2023-12-31T20:00:00,DK2,29.6
2023-12-31T19:00:00,DK1,34.889999
2023-12-31T19:00:00,DK2,34.889999
2023-12-31T18:00:00,DK1,39.639999
2023-12-31T18:00:00,DK2,39.639999
2023-12-31T17:00:00,DK1,45.0
2023-12-31T17:00:00,DK2,45.349998
2023-12-31T16:00:00,DK1,50.0
2023-12-31T16:00:00,DK2,50.0
2023-12-31T15:00:00,DK1,28.07
2023-12-31T15:00:00,DK2,50.669998
2023-12-31T14:00:00,DK1,15.01
2023-12-31T14:00:00,DK2,45.57
2023-12-31T13:00:00,DK1,15.01
2023-12-31T13:00:00,DK2,41.41
2023-12-31T12:00:00,DK1,16.059999
2023-12-31T12:00:00,DK2,43.560001
2023-12-31T11:00:00,DK1,19.77
2023-12-31T11:00:00,DK2,42.77
2023-12-31T10:00:00,DK1,26.870001
2023-12-31T10:00:00,DK2,43.419998
2023-12-31T09:00:00,DK1,30.1
2023-12-31T09:00:00,DK2,42.25
2023-12-31T08:00:00,DK1,35.5
2023-12-31T08:00:00,DK2,44.610001
2023-12-31T07:00:00,DK1,28.76
2023-12-31T07:00:00,DK2,48.240002
2023-12-31T06:00:00,DK1,37.099998
2023-12-31T06:00:00,DK2,44.07
2023-12-31T05:00:00,DK1,21.52
2023-12-31T05:00:00,DK2,40.009998
2023-12-31T04:00:00,DK1,38.130001
2023-12-31T04:00:00,DK2,39.27
2023-12-31T03:00:00,DK1,37.029999
2023-12-31T03:00:00,DK2,38.139999
2023-12-31T02:00:00,DK1,39.959999
2023-12-31T02:00:00,DK2,39.959999
2023-12-31T01:00:00,DK1,40.84
2023-12-31T01:00:00,DK2,40.84
2023-12-31T00:00:00,DK1,40.689999
2023-12-31T00:00:00,DK2,40.689999
2023-12-30T23:00:00,DK1,44.869999
2023-12-30T23:00:00,DK2,44.869999
2023-12-30T22:00:00,DK1,43.23
2023-12-30T22:00:00,DK2,43.23
2023-12-30T21:00:00,DK1,59.240002
2023-12-30T21:00:00,DK2,50.099998
2023-12-30T20:00:00,DK1,57.639999
2023-12-30T20:00:00,DK2,55.139999
2023-12-30T19:00:00,DK1,62.009998
2023-12-30T19:00:00,DK2,62.009998
2023-12-30T18:00:00,DK1,71.089996
2023-12-30T18:00:00,DK2,71.089996
2023-12-30T17:00:00,DK1,79.989998
2023-12-30T17:00:00,DK2,79.989998
2023-12-30T16:00:00,DK1,80.139999
2023-12-30T16:00:00,DK2,79.919998
2023-12-30T15:00:00,DK1,69.989998
2023-12-30T15:00:00,DK2,69.989998
2023-12-30T14:00:00,DK1,56.25
2023-12-30T14:00:00,DK2,56.25
2023-12-30T13:00:00,DK1,42.040001
2023-12-30T13:00:00,DK2,42.040001
2023-12-30T12:00:00,DK1,33.25
2023-12-30T12:00:00,DK2,33.25
2023-12-30T11:00:00,DK1,36.380001
2023-12-30T11:00:00,DK2,36.380001
2023-12-30T10:00:00,DK1,39.639999
2023-12-30T10:00:00,DK2,39.639999
2023-12-30T09:00:00,DK1,39.209999
2023-12-30T09:00:00,DK2,39.209999
2023-12-30T08:00:00,DK1,35.73
2023-12-30T08:00:00,DK2,35.73
2023-12-30T07:00:00,DK1,28.809999
2023-12-30T07:00:00,DK2,28.809999
2023-12-30T06:00:00,DK1,40.009998
2023-12-30T06:00:00,DK2,25.290001
2023-12-30T05:00:00,DK1,25.5
2023-12-30T05:00:00,DK2,22.02
2023-12-30T04:00:00,DK1,16.67
2023-12-30T04:00:00,DK2,20.15
2023-12-30T03:00:00,DK1,18.07
2023-12-30T03:00:00,DK2,18.07
2023-12-30T02:00:00,DK1,18.120001
2023-12-30T02:00:00,DK2,18.120001
2023-12-30T01:00:00,DK1,18.07
2023-12-30T01:00:00,DK2,18.07
2023-12-30T00:00:00,DK1,19.969999
2023-12-30T00:00:00,DK2,19.969999
2023-12-29T23:00:00,DK1,32.490002
2023-12-29T23:00:00,DK2,20.84
2023-12-29T22:00:00,DK1,19.35
2023-12-29T22:00:00,DK2,19.35
2023-12-29T21:00:00,DK1,25.34
2023-12-29T21:00:00,DK2,25.34
2023-12-29T20:00:00,DK1,28.129999
2023-12-29T20:00:00,DK2,28.129999
2023-12-29T19:00:00,DK1,30.02
2023-12-29T19:00:00,DK2,30.02
2023-12-29T18:00:00,DK1,30.76
2023-12-29T18:00:00,DK2,30.76
2023-12-29T17:00:00,DK1,34.119999
2023-12-29T17:00:00,DK2,34.119999
2023-12-29T16:00:00,DK1,35.869999
2023-12-29T16:00:00,DK2,35.869999
2023-12-29T15:00:00,DK1,40.0
2023-12-29T15:00:00,DK2,33.02
2023-12-29T14:00:00,DK1,15.01
2023-12-29T14:00:00,DK2,30.65
2023-12-29T13:00:00,DK1,12.95
2023-12-29T13:00:00,DK2,30.9
2023-12-29T12:00:00,DK1,10.19
2023-12-29T12:00:00,DK2,30.76
2023-12-29T11:00:00,DK1,9.96
2023-12-29T11:00:00,DK2,32.209999
2023-12-29T10:00:00,DK1,12.01
2023-12-29T10:00:00,DK2,15.88
2023-12-29T09:00:00,DK1,15.09
2023-12-29T09:00:00,DK2,15.52
2023-12-29T08:00:00,DK1,13.2
2023-12-29T08:00:00,DK2,15.68
2023-12-29T07:00:00,DK1,12.38
2023-12-29T07:00:00,DK2,15.44
2023-12-29T06:00:00,DK1,0.1
2023-12-29T06:00:00,DK2,10.08
2023-12-29T05:00:00,DK1,-0.07
2023-12-29T05:00:00,DK2,1.58
2023-12-29T04:00:00,DK1,-0.26
2023-12-29T04:00:00,DK2,1.58
2023-12-29T03:00:00,DK1,-0.95
2023-12-29T03:00:00,DK2,15.04
2023-12-29T02:00:00,DK1,-0.93
2023-12-29T02:00:00,DK2,15.43
2023-12-29T01:00:00,DK1,-0.28
2023-12-29T01:00:00,DK2,15.48
2023-12-29T00:00:00,DK1,-0.08
2023-12-29T00:00:00,DK2,15.66
2023-12-28T23:00:00,DK1,0.0
2023-12-28T23:00:00,DK2,15.06
2023-12-28T22:00:00,DK1,2.0
2023-12-28T22:00:00,DK2,15.29
2023-12-28T21:00:00,DK1,26.24
2023-12-28T21:00:00,DK2,26.24
2023-12-28T20:00:00,DK1,28.98
2023-12-28T20:00:00,DK2,33.619999
2023-12-28T19:00:00,DK1,36.689999
2023-12-28T19:00:00,DK2,36.689999
2023-12-28T18:00:00,DK1,39.5
2023-12-28T18:00:00,DK2,39.5
2023-12-28T17:00:00,DK1,45.900002
2023-12-28T17:00:00,DK2,45.900002
2023-12-28T16:00:00,DK1,46.830002
2023-12-28T16:00:00,DK2,46.830002
2023-12-28T15:00:00,DK1,40.34
2023-12-28T15:00:00,DK2,41.330002
2023-12-28T14:00:00,DK1,20.58
2023-12-28T14:00:00,DK2,40.799999
2023-12-28T13:00:00,DK1,15.46
2023-12-28T13:00:00,DK2,22.780001
2023-12-28T12:00:00,DK1,5.76
