date,temperature,wind_speed,electricity_demand,electricity_price,day_of_week,month,day_of_year
2019-12-31,5.2,26.3,3713.75375,33.419998,1,12,365
2020-01-01,3.7,20.6,3511.650416666667,30.878750125,2,1,1
2020-01-02,1.8,22.9,4210.90375,33.969791604166666,3,1,2
2020-01-03,5.2,27.5,4206.65625,24.674583375,4,1,3
2020-01-04,4.4,29.9,3898.6716666666666,20.23687479166667,5,1,4
2020-01-05,3.2,18.6,3787.8033333333333,31.489583208333332,6,1,5
2020-01-06,5.9,19.4,4424.002916666667,30.851666624999996,0,1,6
2020-01-07,5.1,20.8,4427.112083333333,33.33833320833333,1,1,7
2020-01-08,6.9,25.9,4469.1154166666665,24.779374875000002,2,1,8
2020-01-09,5.5,17.0,4479.305,33.85416633333333,3,1,9
2020-01-10,6.2,13.2,4313.347083333333,32.887499999999996,4,1,10
2020-01-11,4.4,24.0,3957.74,25.006250124999998,5,1,11
2020-01-12,5.9,27.3,3842.56875,22.97666691666667,6,1,12
2020-01-13,5.0,19.5,4448.3516666666665,34.69020860416666,0,1,13
2020-01-14,6.6,32.9,4497.414583333333,21.89624985416667,1,1,14
2020-01-15,9.6,35.1,4451.425416666666,21.219999916666666,2,1,15
2020-01-16,5.9,23.9,4444.18625,25.762291645833333,3,1,16
2020-01-17,6.1,23.8,4226.0304166666665,26.55333345833333,4,1,17
2020-01-18,5.6,27.4,3870.09375,23.241249874999998,5,1,18
2020-01-19,3.5,14.7,3794.8475,28.863541895833333,6,1,19
2020-01-20,4.7,21.0,4424.079166666666,29.866041874999997,0,1,20
2020-01-21,6.5,29.0,4454.48375,22.245416604166667,1,1,21
2020-01-22,4.7,19.2,4398.87,32.55458345833333,2,1,22
2020-01-23,4.3,20.4,4424.507083333333,28.4283335625,3,1,23
2020-01-24,6.3,23.1,4243.215,19.93333325,4,1,24
2020-01-25,5.7,18.7,3741.5920833333334,23.616041541666664,5,1,25
2020-01-26,3.7,19.6,3739.6145833333335,19.956666791666667,6,1,26
2020-01-27,4.5,21.2,4369.361666666667,21.149582958333333,0,1,27
2020-01-28,4.4,16.8,4472.859166666666,27.117499875000004,1,1,28
2020-01-29,3.8,22.4,4515.37625,21.009583541666668,2,1,29
2020-01-30,5.8,24.9,4544.505833333334,20.928541624999998,3,1,30
2020-01-31,7.5,27.6,4340.2625,16.521458104166665,4,1,31
2020-02-01,8.1,30.1,3891.5733333333333,7.335624979166667,5,2,32
2020-02-02,5.2,28.5,3728.26375,14.110833249999999,6,2,33
2020-02-03,4.2,15.2,4186.799583333333,25.88729179166667,0,2,34
2020-02-04,3.6,26.1,4383.284166666667,27.498541458333335,1,2,35
2020-02-05,3.2,22.5,4533.163333333333,19.790000083333336,2,2,36
2020-02-06,6.0,23.1,4508.004583333333,23.933750041666666,3,2,37
2020-02-07,3.7,13.1,4357.445,32.212916541666665,4,2,38
2020-02-08,5.2,22.2,3890.5004166666663,14.389166708333335,5,2,39
2020-02-09,7.2,40.6,4035.83,6.744375000000001,6,2,40
2020-02-10,5.9,35.6,4538.28375,9.233125,0,2,41
2020-02-11,3.7,32.1,4658.2579166666665,10.222083333333332,1,2,42
2020-02-12,3.7,29.9,4636.825416666667,12.421875,2,2,43
2020-02-13,3.7,19.7,4426.774166666667,33.002083375000005,3,2,44
2020-02-14,3.9,11.3,4238.5216666666665,31.445833249999996,4,2,45
2020-02-15,5.9,27.7,3942.4533333333334,10.744166666666667,5,2,46
2020-02-16,8.9,35.6,3904.369583333333,5.234375,6,2,47
2020-02-17,6.5,39.3,4455.590833333334,9.735416666666667,0,2,48
2020-02-18,5.5,31.0,4482.260416666667,13.945,1,2,49
2020-02-19,4.4,20.9,4448.227916666667,28.22000022916667,2,2,50
2020-02-20,4.8,28.7,4472.5545833333335,17.231874958333332,3,2,51
2020-02-21,5.9,31.1,4262.880833333334,10.011458333333334,4,2,52
2020-02-22,6.6,41.9,3881.9191666666666,2.7133333333333334,5,2,53
2020-02-23,4.6,28.5,3912.869166666667,6.760208333333334,6,2,54
2020-02-24,4.6,21.3,4407.52875,28.031250083333333,0,2,55
2020-02-25,4.6,37.0,4492.935,16.141249916666666,1,2,56
2020-02-26,2.0,17.8,4503.347083333333,29.717499979166664,2,2,57
2020-02-27,0.9,9.7,4718.173333333333,41.04333345833333,3,2,58
2020-02-28,3.2,18.6,4335.8,29.672708666666665,4,2,59
2020-02-29,4.9,27.9,3936.8170833333334,10.592708333333333,5,2,60
2020-03-01,5.3,29.7,3831.269166666667,8.058333333333334,6,3,61
2020-03-02,4.6,13.3,4184.316666666667,31.248333125000002,0,3,62
2020-03-03,3.8,10.7,4310.211666666667,36.55166677083333,1,3,63
2020-03-04,4.4,16.6,4312.982083333333,39.616666583333334,2,3,64
2020-03-05,3.4,12.1,4384.269166666667,36.1191665625,3,3,65
2020-03-06,4.1,25.7,4485.545416666667,27.114999916666665,4,3,66
2020-03-07,4.0,14.7,3937.81,27.257500333333336,5,3,67
2020-03-08,6.4,26.1,4112.190833333333,11.089583291666665,6,3,68
2020-03-09,6.4,14.5,4201.03625,36.695833375,0,3,69
2020-03-10,5.8,26.6,4439.668333333333,11.568541583333333,1,3,70
2020-03-11,6.9,30.0,4257.556666666666,11.837500020833334,2,3,71
